frame,source_track,target_track,ttc_std,ttc_mod,pair_risk_mod,pair_risk_std
1,1,7,10.0,3.8084781169891357,0.28704546379019474,0.035673993347252395
1,2,6,10.0,8.908868789672852,0.06255348776467792,0.035673993347252395
1,2,5,10.0,9.074856758117676,0.05693780363033605,0.035673993347252395
1,2,4,10.0,5.303915977478027,0.2316281840753584,0.035673993347252395
1,2,3,2.61018443107605,2.0988004207611084,0.591110501083677,0.5001144928086739
1,3,2,2.61018443107605,2.0988004207611084,0.591110501083677,0.5001144928086739
1,3,7,10.0,2.072202444076538,0.9617640758943564,0.8270660212849292
1,4,2,10.0,5.303915977478027,0.2316281840753584,0.035673993347252395
1,5,10,10.0,8.515141487121582,0.05831918222041524,0.035673993347252395
1,5,2,10.0,9.074856758117676,0.05693780363033605,0.035673993347252395
1,6,10,10.0,8.648523330688477,0.05583230248876492,0.035673993347252395
1,6,2,10.0,8.908868789672852,0.06255348776467792,0.035673993347252395
1,7,3,10.0,2.072202444076538,0.9617640758943564,0.8270660212849292
1,7,1,10.0,3.8084781169891357,0.28704546379019474,0.035673993347252395
1,10,6,10.0,8.648523330688477,0.05583230248876492,0.035673993347252395
1,10,5,10.0,8.515141487121582,0.05831918222041524,0.035673993347252395
2,1,7,10.0,3.767763137817383,0.28704546379019474,0.035673993347252395
2,2,6,10.0,8.858930587768555,0.06255348776467792,0.035673993347252395
2,2,5,10.0,9.033308029174805,0.05693780363033605,0.035673993347252395
2,2,4,10.0,5.210608005523682,0.23244458525694006,0.035673993347252395
2,2,3,2.4965429306030273,1.9903697967529297,0.5961726412424103,0.5048822546966926
2,3,2,2.4965429306030273,1.9903697967529297,0.5961726412424103,0.5048822546966926
2,3,7,10.0,2.0423851013183594,0.9617640758943564,0.8270660212849292
2,4,2,10.0,5.210608005523682,0.23244458525694006,0.035673993347252395
2,5,10,10.0,8.525472640991211,0.055975468539855966,0.035673993347252395
2,5,2,10.0,9.033308029174805,0.05693780363033605,0.035673993347252395
2,6,10,10.0,8.656208038330078,0.0537466641596828,0.035673993347252395
2,6,2,10.0,8.858930587768555,0.06255348776467792,0.035673993347252395
2,7,3,10.0,2.0423851013183594,0.9617640758943564,0.8270660212849292
2,7,1,10.0,3.767763137817383,0.28704546379019474,0.035673993347252395
2,10,6,10.0,8.656208038330078,0.0537466641596828,0.035673993347252395
2,10,5,10.0,8.525472640991211,0.055975468539855966,0.035673993347252395
3,1,7,10.0,3.7491276264190674,0.28704546379019474,0.035673993347252395
3,2,6,10.0,8.810417175292969,0.06255348776467792,0.035673993347252395
3,2,4,10.0,5.123164653778076,0.23284590702255858,0.035673993347252395
3,2,5,10.0,8.993224143981934,0.05693780363033605,0.035673993347252395
3,2,3,2.4073944091796875,1.9042822122573853,0.6009311441407778,0.5092251171261227
3,3,2,2.4073944091796875,1.9042822122573853,0.6009311441407778,0.5092251171261227
3,3,7,10.0,2.0208892822265625,0.9617640758943564,0.8270660212849292
3,4,2,10.0,5.123164653778076,0.23284590702255858,0.035673993347252395
3,5,2,10.0,8.993224143981934,0.05693780363033605,0.035673993347252395
3,5,10,10.0,8.76267147064209,0.055975468539855966,0.035673993347252395
3,6,2,10.0,8.810417175292969,0.06255348776467792,0.035673993347252395
3,6,10,10.0,8.879500389099121,0.0537466641596828,0.035673993347252395
3,7,3,10.0,2.0208892822265625,0.9617640758943564,0.8270660212849292
3,7,1,10.0,3.7491276264190674,0.28704546379019474,0.035673993347252395
3,10,6,10.0,8.879500389099121,0.0537466641596828,0.035673993347252395
3,10,5,10.0,8.76267147064209,0.055975468539855966,0.035673993347252395
4,1,7,10.0,3.7443439960479736,0.2223430454112194,0.035673993347252395
4,2,6,10.0,8.718438148498535,0.06255348776467792,0.035673993347252395
4,2,4,10.0,4.983159065246582,0.23296892327230145,0.035673993347252395
4,2,5,10.0,8.915975570678711,0.05693780363033605,0.035673993347252395
4,2,3,2.338458776473999,1.8291515111923218,0.60467141976957,0.5124610232186004
4,2,7,2.524108648300171,2.124213695526123,0.5356040389185897,0.4626294437299847
4,3,2,2.338458776473999,1.8291515111923218,0.60467141976957,0.5124610232186004
4,3,7,10.0,2.0,0.9617640758943564,0.8270660212849292
4,4,2,10.0,4.983159065246582,0.23296892327230145,0.035673993347252395
4,5,2,10.0,8.915975570678711,0.05693780363033605,0.035673993347252395
4,5,10,10.0,8.64852523803711,0.052768032929765625,0.035673993347252395
4,6,2,10.0,8.718438148498535,0.06255348776467792,0.035673993347252395
4,6,10,10.0,8.770421028137207,0.05082060457588219,0.035673993347252395
4,7,2,2.524108648300171,2.124213695526123,0.5356040389185897,0.4626294437299847
4,7,3,10.0,2.0,0.9617640758943564,0.8270660212849292
4,7,1,10.0,3.7443439960479736,0.2223430454112194,0.035673993347252395
