frame,scene_risk
1,0.2881488800048828
2,0.2883300185203552
3,0.2889750003814697
4,0.30893683433532715
5,0.3187585771083832
6,0.3559556007385254
7,0.31760889291763306
8,0.31659239530563354
9,0.20749488472938538
10,0.2062995284795761
11,0.16489551961421967
12,0.1716756373643875
13,0.16390570998191833
14,0.15574911236763
15,0.22459279000759125
16,0.15576158463954926
17,0.13555574417114258
18,0.14704720675945282
19,0.10171955823898315
20,0.13314473628997803
21,0.13311773538589478
22,0.1319844126701355
23,0.09755928814411163
24,0.10518871247768402
25,0.20646999776363373
26,0.2234189510345459
27,0.15603503584861755
28,0.23751895129680634
29,0.2918977439403534
30,0.15518836677074432
31,0.1807750165462494
32,0.13253764808177948
33,0.16268956661224365
34,0.21898674964904785
35,0.13614895939826965
36,0.19006764888763428
37,0.27541086077690125
38,0.20513580739498138
39,0.20559236407279968
40,0.20493680238723755
41,0.24671801924705505
42,0.12302524596452713
43,0.2917012572288513
44,0.11768007278442383
45,0.13993947207927704
46,0.3483971059322357
47,0.3995687663555145
48,0.43386462330818176
49,0.43386465311050415
50,0.4533599615097046
51,0.46750473976135254
52,0.4687149226665497
53,0.32471078634262085
54,0.29551130533218384
55,0.19419696927070618
56,0.14388535916805267
57,0.07618647068738937
58,0.2675313651561737
59,0.17328408360481262
60,0.16679731011390686
61,0.21627838909626007
62,0.1447014957666397
63,0.10727536678314209
64,0.1230178028345108
65,0.13815954327583313
66,0.10227248817682266
67,0.0477738194167614
68,0.05720215290784836
69,0.2574170231819153
70,0.21874365210533142
71,0.37167027592658997
72,0.20422548055648804
73,0.2049151510000229
74,0.18574301898479462
75,0.2386566549539566
76,0.23889867961406708
77,0.1811981350183487
78,0.21713221073150635
79,0.18177089095115662
80,0.18982389569282532
81,0.14757849276065826
82,0.19350576400756836
83,0.15553100407123566
84,0.1202847808599472
85,0.4170122444629669
86,0.2159428745508194
87,0.20245467126369476
88,0.24793478846549988
89,0.1780792623758316
90,0.13849152624607086
91,0.20842131972312927
92,0.22606821358203888
93,0.15204590559005737
94,0.988524854183197
95,0.2250656634569168
96,0.2634253203868866
97,0.26389893889427185
98,0.2659348249435425
99,0.2948373854160309
100,0.26699310541152954
101,0.2951049208641052
102,0.33292871713638306
103,0.295082151889801
104,0.14109456539154053
105,0.37709519267082214
106,0.3866075277328491
107,0.34755370020866394
108,0.3585261106491089
109,0.35867464542388916
110,0.34887728095054626
111,0.34887728095054626
112,0.2556425631046295
113,0.2946740388870239
114,0.3810074031352997
115,0.29991021752357483
116,0.2704404294490814
117,0.27069148421287537
118,0.24508947134017944
119,0.3413175344467163
120,0.31127941608428955
121,0.3097189962863922
122,0.320650577545166
123,0.22125284373760223
124,0.22935354709625244
125,0.22087788581848145
126,0.30952632427215576
127,0.32726457715034485
128,0.3007717430591583
129,0.3309052884578705
130,0.24166728556156158
131,0.2130070924758911
132,0.23229718208312988
133,0.24897834658622742
134,0.24553214013576508
135,0.30438438057899475
136,0.3539658486843109
137,0.3730784058570862
138,0.3760514259338379
139,0.3993165194988251
140,0.39382877945899963
141,0.38495898246765137
142,0.38421809673309326
143,0.39455682039260864
144,0.3705334961414337
145,0.3771961033344269
146,0.2668269872665405
147,0.3619648218154907
148,0.2876109480857849
149,0.2954089939594269
150,0.29010170698165894
151,0.2242107391357422
152,0.27575451135635376
153,0.2945992052555084
154,0.4115898311138153
155,0.3525388240814209
156,0.41172537207603455
157,0.3608582019805908
158,0.3364242911338806
159,0.3622967600822449
160,0.3431392014026642
161,0.45316919684410095
162,0.27598869800567627
163,0.34424012899398804
164,0.34380191564559937
165,0.3528116047382355
166,0.3447306752204895
167,0.3691229820251465
168,0.3231666386127472
169,0.3770538866519928
170,0.372298002243042
171,0.36642777919769287
172,0.3183514475822449
173,0.32352176308631897
174,0.2694079577922821
175,0.2272658348083496
176,0.33305132389068604
177,0.22021447122097015
178,0.2022467404603958
179,0.1838439553976059
180,0.17027799785137177
181,0.17188125848770142
182,0.1508876383304596
183,0.16932624578475952
184,0.31645357608795166
185,0.11093263328075409
186,0.25377020239830017
187,0.21995839476585388
188,0.21290424466133118
189,0.21918170154094696
190,0.37073254585266113
191,0.11675404757261276
192,0.2681821584701538
193,0.22123868763446808
194,0.16849777102470398
195,0.18097417056560516
196,0.2132241129875183
197,0.2479054033756256
198,0.23711863160133362
199,0.18741078674793243
200,0.2422531396150589
201,0.20212389528751373
202,0.31841373443603516
203,0.3565399944782257
204,0.31052157282829285
205,0.3210001587867737
206,0.297902911901474
207,0.3353513479232788
208,0.3465399146080017
209,0.3685622215270996
210,0.3048960566520691
211,0.18990488350391388
212,0.2747005522251129
213,0.2592112123966217
214,0.24112948775291443
215,0.26320314407348633
216,0.27175000309944153
217,0.27227285504341125
218,0.2884676456451416
219,0.2934502959251404
